gene1	gene2	doublemut	singlemut	significant	fdr
rhal	fixc	-7.020638298	0.169449834	non-significant	0.923546327
irss	fixc	-3.702101878	1.343180548	non-significant	0.991013325
ubdw	fixc	2.654362482	1.605393879	non-significant	0.102086754
erjs	fixc	-8.848875268	1.734206016	non-significant	0.191821262
odqc	fixc	-9.114453557	-1.065540273	non-significant	0.353300595
kesd	fixc	0.804664854	2.466261773	non-significant	0.690050319
smtg	fixc	-14.70935313	-12.33218664	non-significant	0.889774849
twam	fixc	-1.009596869	1.227481893	non-significant	0.553146501
osjm	fixc	-4.972194733	-2.535426157	non-significant	0.645377693
zirz	fixc	-8.165459833	0.576700142	non-significant	0.613740081
lrxs	fixc	1.261612481	-0.856594896	positive	0.050453241
qtxu	fixc	-14.56729666	-2.408793877	negative	0.032057853
ubou	fixc	-4.140490075	1.456055998	non-significant	0.972478451
bczz	fixc	-0.098227903	1.203087231	non-significant	0.328098365
vlfg	fixc	4.900871354	0.984163414	positive	0.040555089
pjek	fixc	-11.60982758	1.246434291	negative	0.049233495
vqdb	fixc	0.472254238	0.845938055	non-significant	0.482441486
pbvi	fixc	-6.512935166	-5.351618239	non-significant	0.634060604
mndw	fixc	-1.59152768	1.379584764	positive	0.083152652
liob	fixc	0.06630831	0.228868844	non-significant	0.418277374
tikf	fixc	1.320131434	0.96765248	non-significant	0.163668829
xbdj	fixc	-21.40869135	1.856758981	non-significant	0.644910099
bwdu	fixc	-2.280583708	0.791828305	non-significant	0.920930615
mmyt	fixc	-1.47709992	1.267319749	non-significant	0.687351195
sylw	fixc	0.078213627	2.021431702	non-significant	0.139682408
dwjg	fixc	-9.556631403	0.62964641	non-significant	0.450027481
iinu	fixc	-0.659749209	0.691334983	non-significant	0.802525089
tacr	fixc	1.222083699	1.551969462	non-significant	0.491147984
hhsy	fixc	-36.11630156	-36.31112663	non-significant	0.898319253
dwta	fixc	-12.83158884	-7.863021764	non-significant	0.995686526
bhel	fixc	-4.061098126	1.865846642	non-significant	0.477669149
hyxy	fixc	0.860470706	1.09219804	non-significant	0.513027433
ajwr	fixc	-11.82774269	3.280083	negative	0.062472039
ofsc	fixc	-15.64210203	-5.471512967	non-significant	0.119657509
mxqh	fixc	-23.08390506	-5.135259713	negative	0.024516968
ukrr	fixc	3.846922738	1.080977723	non-significant	0.184453305
tvyy	fixc	-17.91657581	-9.578687764	non-significant	0.549002376
fixc	fixc	-16.91922704	-7.863681032	non-significant	0.450107229
omqj	fixc	-4.438536792	-1.976560025	non-significant	0.775739152
