gene_symbol1	gene_symbol2	score
pb7M	416L	-10.37743450567784
3O0Z	416L	-6.310000429523918
dcUe	416L	2.490649309420412
Ggu1	416L	-6.0005382447147175
Vd44	416L	-8.615629701537374
BgoW	416L	-4.189141707532871
MRba	416L	-11.126672129241868
HQfy	416L	-2.8200651043483114
XSNG	416L	-6.868875992038898
AXAM	416L	-9.36025341939562
2sUp	416L	-6.441964692270983
pb7M	6FMA	-5.740851831762701
3O0Z	6FMA	-3.738636665340161
U9tn	6FMA	7.416731165934894
WLYE	6FMA	2.2491839451814206
dcUe	6FMA	6.860442604560557
Ggu1	6FMA	-5.780912349645546
Vd44	6FMA	-7.506622750289256
BgoW	6FMA	-6.2296063161315764
AXAM	6FMA	-5.6064808457501645
coe2	6FMA	-6.154718518967269
8vMV	6FMA	1.5895963480128996
2sUp	6FMA	-4.326953113376257
U9tn	AnyA	2.112221307146842
WLYE	AnyA	3.7238796447183424
dcUe	AnyA	2.0098701160460575
cNxM	AnyA	1.772582074160416
BgoW	AnyA	-9.688419522207704
MRba	AnyA	-10.189762807476313
HQfy	AnyA	-2.4419737949309055
XSNG	AnyA	-6.263608392529148
AXAM	AnyA	1.9513335054486487
coe2	AnyA	-8.7883347270787109
2sUp	AnyA	-1.9105144654431652
pb7M	bHJg	-7.066947098073679
3O0Z	bHJg	-5.485537415099938
U9tn	bHJg	2.2729620793923906
WLYE	bHJg	3.0292511304150995
dcUe	bHJg	3.691455982399735
cNxM	bHJg	2.0606495473235116
Ggu1	bHJg	-5.61173066505602
Vd44	bHJg	-6.711243325711205
MRba	bHJg	-14.110682798514825
AXAM	bHJg	-8.627709598618255
coe2	bHJg	-4.06932517088653
8vMV	bHJg	2.0491524143533972
2sUp	bHJg	-6.915514927700132
XSNG	doe1	-3.5554591693107622
MRba	FBtg	-14.217286105580287
HQfy	FBtg	2.3955492721271843
3O0Z	rkOy	-1.44264321695854
U9tn	rkOy	2.946046568568554
dcUe	rkOy	2.307577355796508
cNxM	rkOy	1.8126331672542846
Vd44	rkOy	1.3753320612226116
BgoW	rkOy	-8.76909807582837
MRba	rkOy	-8.270766340488546
XSNG	rkOy	-4.536971419987548
coe2	rkOy	-5.880741641415044
MRba	tWdI	12.075239046671971
XSNG	tWdI	3.871363092585281
coe2	tWdI	7.331706149292769
MRba	vlK5	-4.196999190985105
HQfy	vlK5	-2.3106168457635903
AXAM	vlK5	-5.826528437012216
coe2	vlK5	-15.120258914481246
