process	Analyte	cellline	R1	R2	fdr
AUTOPHAGY	APG7L  (peak2)	HT29	1.9470251137771941	1.942145614534374	0.02735564979433683
APOPTOSIS	PARP (cleaved)	HT29	1.3785116232537298	1.3219280948873624	0.26014999309499487
AUTOPHAGY	APG3L (peak2)	HT29	4.454835349594631	4.03353203641948	0.26014999309499487
CELL CYCLE	cdc27 (peak1)	HT29	0.7369655941662062	0.6690282082053929	0.26014999309499487
MAPK	A-Raf	HT29	0.6932743117563079	0.6266101980796475	0.26014999309499487
MAPK	RSK 1 (p90RSK)	HT29	0.3524791862828531	0.38856528791765277	0.26014999309499487
TGF-Beta	Smad2	HT29	0.6313181364128957	0.5855828813116185	0.26014999309499487
MAPK	RSK 1 (p90RSK) - p- T573	HT29	1.266992419402477	1.4267004168044237	0.2806574573942652
AUTOPHAGY	Beclin-1	HT29	0.44503223957668125	0.3649255003828381	0.3034153821824321
CELL CYCLE	cdc25B	HT29	0.2111103364944336	0.1730922805209954	0.3034153821824321
CELL CYCLE	Cyclin B1	HT29	0.46448013087258117	0.5785362315617233	0.3034153821824321
CELL CYCLE	Rb - p- S807/S811	HT29	0.7811653980767412	0.6262752033932484	0.3034153821824321
MAPK	b-Raf - p- S445	HT29	1.07039077058716	1.3161471849891184	0.3034153821824321
MAPK	JNK/SAPK  (peak2)	HT29	0.5038467662366997	0.6175935049611229	0.3034153821824321
MAPK	p38 MAPK	HT29	0.5314130324444221	0.4372088802774642	0.3034153821824321
METABOLISM	AMPK alpha	HT29	0.7265489782208677	0.604862058158861	0.3034153821824321
METABOLISM	PPAR alpha	HT29	-0.6033410300360109	-0.5218442258058622	0.3034153821824321
MAPK	Erk1/2  p- T202/Y204 (peak1)	HT29	0.8624964762500651	0.6471189767837257	0.39396612203981396
MAPK	Erk2 (MAPK p42)  TK	HT29	0.23599515308144167	0.3160274934476781	0.39396612203981396
APOPTOSIS	Caspase 8  BG/MP (full length)	HT29	0.5176072329193916	0.3726588970082921	0.4142577149927454
PI3K/AKT	c-Met (HGF/SF receptor)	HT29	0.42825932994713	0.5879838526963933	0.4142577149927454
MAPK	p38 MAPK - p- T180/Y182 (peak 2)	HT29	1.1916956241135315	1.7092920784191201	0.4339653635309766
MAPK	Rac1/cdc42	HT29	0.7509317733302089	0.5146529657028125	0.4339653635309766
TRANSLATIONAL CONTROL	S6 ribosomal protein	HT29	0.2084298034803048	0.3033257521026766	0.4339653635309766
CELL CYCLE	GADD45B	HT29	0.45874189493486967	0.6875541799962299	0.45498751715577185
CELL CYCLE	Cyclin A  TK (peak1)	HT29	1.6838158876474416	2.6035655448917443	0.48056119861678365
CELL CYCLE	CDK2 - p- T160	HT29	0.7402974548639543	0.45875887670816173	0.49098931094676646
CELL CYCLE	GADD45 alpha	HT29	0.5861918958026999	0.35679235824289035	0.49098931094676646
WNT	beta-Catenin - p- S675	HT29	0.29937123710454067	0.4842685011016832	0.49098931094676646
WNT	Caseinkinase 1 alpha  TK	HT29	0.22314167871028115	0.3663222142458158	0.49098931094676646
MAPK	A-Raf - p- Y301/Y302 (peak2)	HT29	3.5594932559008	5.932629599717889	0.49196554576977564
APOPTOSIS	Survivin	HT29	0.49435995194024956	0.2792837574788686	0.5146988272025407
MAPK	A-Raf - p- Y301/Y302 (peak1)	HT29	-0.3436336954161321	-0.6050084429229143	0.5146988272025407
MAPK	c-Raf - p- S259	HT29	0.6566639660753449	0.3770696490798233	0.5146988272025407
PI3K/AKT	PI3-kinase p110 beta	HT29	0.16123404117826787	0.2958902339858389	0.5390293511771272
MAPK	Erk1/2 (MAPK p44/42) (peak1)	HT29	0.5580396725935958	0.29463690654611413	0.5508577716003203
METABOLISM	mTOR (FRAP)	HT29	0.46450617554314366	0.24285652389616355	0.5508577716003203
MAPK	Erk1/2  p- T202/Y204 (peak2)	HT29	1.3502423764817764	2.662206942349379	0.5510807374694823
WNT	beta-Catenin	HT29	0.2734032810305717	0.5383924296433195	0.5510807374694823
CELL CYCLE	CDK5	HT29	0.649138857855413	0.3175629023259603	0.5707015124995466
TRANSCRIPTIONAL REGULATION	c-Jun	HT29	1.0075732197048008	2.124545097938303	0.5737631902415383
WNT	LRP6	HT29	0.9183876771421102	0.43389652653015964	0.5737631902415383
CELL CYCLE	Cyclin D1	HT29	0.45391039092313407	0.21098765806419847	0.57442253242251
APOPTOSIS	Caspase 9	HT29	0.20007783544891286	0.439285045525521	0.5780919297712207
CELL CYCLE	cdc25A  p- S75	HT29	0.3675448948000004	0.154743729007127	0.6008065146661976
WNT	beta-Catenin (non-p- S33/37/T41; active)	HT29	0.5056400480597506	1.1922370182477255	0.6008065146661976
WNT	Caseinkinase 1 epsilon	HT29	-0.5849639434169185	-1.3840512494909218	0.6008065146661976
APOPTOSIS	ATF4	HT29	-0.23227714508953048	-0.6982459940761959	0.6355779321441031
APOPTOSIS	Bax	HT29	0.6878109083129063	0.25230799924073527	0.6355779321441031
CELL CYCLE	CDK4	HT29	0.7369655941662062	0.24345403686427758	0.6355779321441031
CELL CYCLE	Cyclin A  TK (peak2)	HT29	2.613598368682044	7.349401922495681	0.6355779321441031
METABOLISM	PPAR gamma - p- S112	HT29	0.9592047736903172	2.961191980012231	0.6355779321441031
NFKB	IKK alpha  (peak1)	HT29	0.8208668517751514	2.3962008572659883	0.6355779321441031
NFKB	IKK alpha  (peak2)	HT29	-0.1608911895772511	-0.4830142930948506	0.6355779321441031
NFKB	IKK beta	HT29	0.5320136207721973	0.19592020997525691	0.6355779321441031
TRANSLATIONAL CONTROL	S6 ribosomal protein - p- S235/S236	HT29	0.9881258997117083	2.5214097502264163	0.6355779321441031
WNT	beta-Catenin - p- S552	HT29	0.2666456593861727	0.8073549220576041	0.6355779321441031
WNT	GSK3 beta - p- S9	HT29	1.0371986179542496	2.805293898296474	0.6355779321441031
CELL CYCLE	Rb  BG/MP (peak 2)	HT29	1.3967881268239863	4.601743348486054	0.6579420633146964
APOPTOSIS	Bcl-xL	HT29	0.3231659285462163	0.09277144436005522	0.6594388621126276
AUTOPHAGY	LC3B II	HT29	0.6678153440218436	2.409803302389018	0.6594388621126276
CELL CYCLE	cdc2 (CDK1)	HT29	1.1067680667081061	0.3040558698930972	0.6594388621126276
CELL CYCLE	Rb  BG/MP (peak 1)	HT29	0.44987487768797724	1.6438561897747246	0.6594388621126276
METABOLISM	PPAR gamma	HT29	0.7097047354841632	2.6691133839471863	0.6594388621126276
TRANSLATIONAL CONTROL	S6 ribosomal protein - p- S240/S244	HT29	0.5593396294140347	2.1283667291778117	0.6594388621126276
PI3K/AKT	Akt1	HT29	0.24834696250625488	0.05964294642740167	0.6852409794462921
PI3K/AKT	PI3-kinase p85 alpha	HT29	0.04231080485796419	0.1815201399209199	0.6864884653878899
MAPK	p38 MAPK - p- T180/Y182 (peak 1)	HT29	0.9593580155026541	0.19680070743370698	0.7189998833875553
